id,country_of_museum,Museum,type,date start,date end,year start,year finish,region,country,Name,subject,subject_esp,description,description_esp,co-org,sponsor,url,objects_type,object_material,object_purpose,online/offline, admission fee
14,GB,PR,exhibition,31 Aug 2018,25 Jan 2019,2018,2019,Central Asia,Tibet,Tibetan Objects in Transition,material culture of Tibet,,"The material culture of Tibet has been sought, collected and studied in the West since the middle of the nineteenth century. Often construed as valuable and exotic ‘art’ or ‘antiques’, it has since entered museum collections and art markets in large quantities. British museum collections of Tibetan material expanded greatly in the early twentieth century following the extensive looting that occurred during the Younghusband ‘Mission’ to Tibet of 1903–4. Thereafter, anthropologists, missionaries, explorers and other visitors to Tibet continued the process of removing items they believed could explain its mysteries and its religion. Thousands of Tibetan objects are therefore now stored in museums around the world, but Tibetans often lack access to them and the opportunity to interpret them in their own terms. The display Tibetan Objects in Transition arose from the perceived need to insert contemporary Tibetan voices, narratives and perspectives into museum space(s).
This case display is an experiment in creating a ‘Tibetan’ mode of displaying material culture which emphasises contemporary Tibetan voices, narratives and perspectives. Drawing from the Pitt Rivers Museum’s collections, as well as objects loaned by members of the Tibetan community in the UK, it is underpinned by the idea of transition, in terms of the material culture and people of Tibet. Like some Tibetan people, Tibetan objects have been ‘displaced’ from their original settings and acquired new meanings over the course of their journeys. Here, these displaced objects and narratives have been reunited with Tibet, personified through the figure of Senmo.
Senmo, the Supine Demoness of Tibet
The image underpinning this display depicts the Senmo – a traditional female representation of the Tibetan landscape. She is depicted pinned down by Buddhist temples at thirteen key locations on her body: four in the inner realm (shoulders and hips), four at the border areas (knees and elbows), four at the borders beyond (hands and feet), and one at the centre (heart). For Tibetans, this geomantic map symbolizes the superimposition of Buddhism over the demoness’s power. The image also relates to shifts in Tibetan political organisation, from a loose tribal confederacy to a large and sophisticated empire that spread into Central Asia during the Yarlung Dynasty in the seventh to ninth centuries CE.",,"Tibetan community in the UK, Clare Harris",,https://prm.web.ox.ac.uk/event/tibetan-objects-in-transition,"national crafts, ritual objects","stone, metal, clay","spiritual, practical",offline,TRUE
15,GB,PR,exhibition,23 Jul 2018,28 Oct 2018,2018,2018,Africa,Nigeria,Messy Realities: The Secret Life of Technology,co-design a display that would reflect on the team’s research into assistive living technologies and generate new insights to inform ongoing research,,"Connecting museum collections and contemporary medical technologies
Messy Realities: The Secret Life of Technology explored the work of the research project Studies in Co-Creating Assisted Living Solutions (SCALS). The SCALS team invited museum engagement staff and members of the public to co-design a display that would reflect on the team’s research into assistive living technologies and generate new insights to inform ongoing research. This process brought together an interdisciplinary group of researchers, museum staff, designers from Rycotewood Furniture Centre and community members living with long-term health conditions to test connections between historic museum objects and contemporary medical technologies, particularly ‘assistive living technologies’. If we put unexpected objects together, could meaningful connections be made? Could we spark new ideas about what assistive living technologies are and find out new things about what they mean to the people who use them? Could we think about objects in the collections in new ways by viewing them alongside assistive living technologies from the SCALS research?
A museum of comparative technology meets assistive living technology
Often described as a ‘museum of comparative technology’, the Pitt Rivers collections can be understood as worldwide examples of technologies created to cope with the dilemmas of life. For example, it demonstrates ways to stay connected with loved ones, ways to worship and ways to care for family. To develop the Messy Realities display, we thought about objects in the collections as technologies that assist people to live their lives, just like the assistive living technologies from the SCALS research that we considered alongside them.
As part of the display, we grouped Museum items with technologies from the SCALS research to create new meanings and make connections. In the two images below you can see a digital alarm designed for the user to wear around the neck to summon help, for example after a fall, next to an object from the Museum’s handling collection. In the first image, you can see a leather neck ornament (likely from Nigeria) and in the second, an arrowhead (UK). Both the leather ornament and the arrowhead would have been worn or held close to the body as protective amulets, helping their owner to feel safe. The SCALS research found that pendant alarms can take on amuletic meaning, with some people wearing them to feel safe while out, even though they know they do not work out of range of their house.
Containers were another type of object group we explored. We grouped together different types of containers used to hold ‘medicine’, and discussed what they brought to mind. Dosset boxes can be pre-prepared by pharmacists or filled by the user at home, but are often replaced with Tupperware or other containers better suited to the person using them. For example, we displayed the hollow shell of a nut from Uttar Pradesh Mirzapur (India) collected from a local ‘drug seller and surgeon’, and a gilt metal box (or ‘inro’) from Japan decorated with lacquer varnish, with the attached wooden netsuke and ivory model of a house. The nut shell, Tupperware (UK) and dosset boxes (UK) are functional and plain, with no intrinsic monetary value. In comparison, the decorative inro can indicate wealth and status. This object grouping stimulated interesting discussions with the co-curators about assistive living technologies, value, status and stigma.",,,"Rycotewood Furniture Centre, David Walker (Phillips), Stephanie Bevan (Herts Careline),
Hannah Oatley (Oxford Academic Health Science Network), Dr George Leeson (Oxford Institute of Population Ageing), Sarah and Trevor Young, Micro Scooters Ltd, Dr Anne Ferrey, Suzy Prior ",https://prm.web.ox.ac.uk/event/messy-realities-the-secret-life-of-technology,national crafts,"stone, metal, plastic","spiritual, medical",offline,TRUE
16,GB,PR,exhibition,17 Feb 2018,23 Sep 2018,2018,2018,East Africa,Uganda,Sunil Shah: Uganda Stories,subjective journey to recollect the past and a study in photography’s documentary,,"Uganda Stories by Sunil Shah is both a subjective journey to recollect the past and a study in photography’s documentary potential to reassemble history. In this exhibition, Shah explores very personal themes linked to his family’s roots and heritage as Ugandan Asians, and offers wider narratives around exile, displacement and dispossession.
In the years following World War II, Africa witnessed a prolonged struggle for liberation and independence leading to its gradual decolonisation. Although this gave greater political power to African leaders across the continent, it was not the end of political instability, and social suffering for many citizens in various African nations continued.
In August 1972, almost a decade after Britain’s colonial withdrawal from Uganda, Idi Amin (1925–2003), President of Uganda from 1971 to 1979, made a decree to expel the entire Asian population from Uganda, amounting to approximately 80,000 people. He accused them of monopolising the economy and not integrating with indigenous Ugandans.
As a former British colony, Uganda, similar to other sub-Saharan colonies, had many citizens of South Asian descent. They initially arrived in the late nineteenth century as indentured labourers, brought by the British, to construct the East African railroads. However, most arrived between the world wars, migrating from India to work as merchants, traders and administrators as British East Africa developed and working opportunities emerged.",,,,https://prm.web.ox.ac.uk/event/sunil-shah-uganda-stories,"visual art, taxidermy object","paper, remains of animals, plastic",communication,offline,TRUE
17,GB,PR,exhibition,12 Nov 2018,19 May 2019,2018,2019,South Asia,India,Surveying the Nagas,Visual Representations of India’s Northern Hill-Tribes in the R. G. Woodthorpe Collection,,"This exhibition presents a selection of material from the Pitt Rivers Museum’s R. G. Woodthorpe collection, much of which has never before been on public view. The display case contains writings, sketched and photographic images, and objects produced and collected in the Naga Hills region of northeast India during the 1870s. These diverse items offer an insight into how British colonial officials understood and represented their interactions with ‘frontier tribes’, as they termed the inhabitants of the Naga Hills and other upland areas on India’s fringes.
The creator or collector of the items on display was Robert Gosset Woodthorpe (1844–1898), a British army officer in the Royal Engineers. He took a posting to India in 1869 and from 1871 worked for the Survey of India, engaged primarily in mapping frontier regions of Britain’s empire. Along with stints in the Naga Hills, Woodthorpe undertook survey work in upland areas to the east of Bengal, to the north of Assam, and in northern Burma. He also accompanied British military columns into India’s north-west frontier during the Second Anglo-Afghan War (1878–1880) and during an expedition north of Kashmir in the mid-1880s. In the course of these surveys, Woodthorpe kept diaries and prolifically sketched landscapes and people. He became renowned as an expert on India’s frontiers, giving talks on his travels to prestigious London-based learned institutions, including the Royal Geographical Society and the Anthropological Institute of Great Britain and Ireland. In the final decade of his life, Woodthorpe rose to senior positions in British India’s knowledge-gathering establishment, eventually becoming second-in-command of the Survey of India.
The Naga Hills to the south of the Assam Valley was the region that Woodthorpe depicted most intensively. His survey work there took place in the mid-1870s, when the British colonial state sought to expand its control over a previously ungoverned and little-known area of narrow valleys and jagged mountain ridges. Colonial stereotypes of the numerous fragmented communities known as ‘Nagas’ that inhabited the region were already in circulation before Woodthorpe’s time. These pejorative representations emphasised the exotic appearance and violent tendencies of the people. Many of the images, written descriptions, and objects in the Woodthorpe collection built on and further embedded these reductive assumptions of ‘tribal’ culture. However, Woodthorpe’s materials were also the products of more intensive and sustained encounters between British colonial personnel and Naga individuals and groups than had taken place previously. The items of clothing, sketches, writings, and photographs displayed in this case reflect the complexities of these encounters, in which intimacy and violence intermingled, impacting both coloniser and colonised.",,"Rebecca Ash, RJA Mountmaking","Ian Cartwright, Nicholas Crowe",https://prm.web.ox.ac.uk/event/surveying-the-nagas,"texts, visual art","paper, paints, graphite",communication,offline,TRUE
18,GB,PR,exhibition,29 Oct 2018,11 Mar 2019,2018,2019,East Africa,Tanzania,A Tradition Continued: Iraqw Beaded Skirts Old and New,continuation in Iraqw leatherwork and beadwork traditions,,"These beaded skirts were made by young Iraqw women in north-central Tanzania in Africa. Although the two skirts were made more than fifty years apart, they are stylistically similar, demonstrating a continuation in Iraqw leatherwork and beadwork traditions. Such skirts are worn wrapped around a woman’s waist. The combination of the thick hide and the numerous beads make the skirts extremely heavy, some examples weighing as much as 15 kilograms.
Iraqw skirts are amongst the most elaborately decorated textiles from eastern Africa. Each skirt is unique, the design being a product of the skill of the individual maker and the resources available. Typically, the skirts consist of four panels made from cow- or goat-hide, with thousands of beads attached using lazy stitch to create the characteristic long bands and geometric motifs. In historic examples, the beads are usually white, red, blue and black, with some yellow; those made in later decades incorporate other colours, such as light blue and green. Although a number of anthropologists have attempted to understand the significance of the colours and symbolism of the motifs, any precise meanings they may have remain unknown to outsiders.
The skirts were made by young girls as part of the Iraqw women’s initiation ritual known as Marmo. Through participation in Marmo, Iraqw girls transitioned from puberty to womanhood. During the ceremony, girls were secluded from the wider community for up to a year, being cared for by the elder women. The girls were taught songs and word games, as well as sexual manners. They also embroidered the leather capes, with which they had entered seclusion, with their own individual beadwork designs, thus turning them into elaborately decorated skirts like the ones on display that demonstrated their skill and dexterity. The girls were also circumcised. For the Iraqw, circumcision was a rite of purification, performed so that when the girls emerged from seclusion – wearing their colourful skirts – they were considered to be reborn with a new innocence and dignity, ready for married life.
As a result of a political struggle between the leader of the ritual specialists and Michael Ahho, a chief appointed by the British colonial authorities who was also a Christian, Marmo was banned in the 1930s. Despite the enormous political, economic and cultural changes that have affected Tanzanian society up to and beyond indepence in 1961, it appears that the ritual may have continued to be practised into the 1970s at least. Moreover, it appears that some elements of Marmo, including the singing of the songs at ceremonies and the making and wearing of beaded skirts, have been maintained by Iraqw women to the present day.
Campaigners against female genital mutilation (FGM) have argued that circumcision is a violation of women’s rights, particularly where it is practised on young girls. Such campaigners have had only limited success in eastern Africa, however, where circumcision is still widely practised amongst many groups, including the Iraqw, for whom the custom has profound cultural and social importance.",,,"Jeremy Coote, Hadiqa Khan, Elizabeth Porter",https://prm.web.ox.ac.uk/event/tradition-continued,national crafts,"leather, beads",clothing,offline,TRUE
19,GB,PR,exhibition,28 May 2018,23 Sep 2018,2018,2018,Pacific/Oceania,"Tahiti, Tonga, the Marquesas Islands, Rapa Nui (Easter Island), New Caledonia, Vanuatu, New Zealand, and Tierra del Fuego",A Variety of Portraits of Persons,From the Official Account of Cook’s Second Voyage to the Pacific (1772–1775),,"The Publication
The eighteen prints displayed here are from a copy of A Voyage towards the South Pole, and Round the World. This was the official account of James Cook’s second famous voyage to the Pacific, from 1772 to 1775. It was written by Cook himself with the assistance of Dr John Douglas, Canon of Windsor. The Voyage was first published, in two volumes, in London in 1777. A total of sixty-three plates were prepared for the publication. These included maps, charts, and views, as well as ‘A Variety of Portraits of Persons’. In the eighteenth century, books were sold unbound in sheets. Purchasers would then make their own arrangements as to how the books were bound. In this case, the printed text includes a ‘List of the Plates’ that provides ‘directions for placing them’ in the correct position in the text.
Not all surviving copies of the Voyage contain all the plates, while some surviving sets of plates have been bound separately. For example, in the University’s Bodleian Library are two copies of the first edition of the Voyage: one with a complete set of plates that have been bound in, more or less exactly according to the ‘directions’; the other with no plates at all. Also in the Bodleian there is an incomplete set of plates, separately bound.
The Voyage and the Artist
On his second famous voyage of exploration, Cook sailed to the Pacific in HMS Resolution, accompanied by its consort HMS Adventure, commanded by Tobias Furneaux. Cook had been instructed by the Admiralty to establish whether or not there is a great continent in the south seas. As well as carrying out three exploratory cruises through the Antarctic Ocean, Cook visited the Society Islands (including Tahiti), Tonga, the Marquesas Islands, Rapa Nui (Easter Island), New Caledonia, Vanuatu, New Zealand, and Tierra del Fuego.
Among those who sailed with Cook were the Prussian-born Johann Reinhold Forster (1729–1798) and his son Johann George Adam (1754–1794) who had been appointed ‘at the King’s pleasure’ naturalists to the expedition. The Forsters made large collections of botanical and zoological specimens, as well as collections of Pacific art and artefacts. In 1776 they gave an important collection of such ‘artificial curiosities’ acquired on the voyage to the University of Oxford. Many of the objects they donated are on permanent display at the east end of the Pitt Rivers Museum’s Lower Gallery.
The London-born landscape painter William Hodges (1744–1797) was appointed as the voyage artist. He produced numerous sketches, drawings, and paintings in chalk, charcoal, watercolour, and oil during the voyage. Afterwards, he was employed by the Admiralty to work up some of his sketches into large oil paintings. He was also commissioned to supervise the production of engravings based on his sketches and drawings for publication in the official account of the voyage.
The Portraits
Each of the prints displayed here is derived from a portrait that was drawn in red chalk during the voyage by the official artist William Hodges. The original drawings (fifteen of which survive) are remarkable for the way in which they appear to capture both the likeness and the character of the person portrayed. Although serving to give the book’s readers an idea of the general appearance of the different peoples of the Pacific, they are individual portraits rather than types.
In order to have the prints ready quickly, a number of artists were employed to engrave the portraits on to copper plates for printing. Five of the engravings were by John Hall (1739–1797), four by James Caldwall (1739–1822), three by James Basire (1730–1802), two by John Keyes Sherwin (1751–1790), one each by François Germain Aliamet (1726–1788), Francesco Bartolozzi (1727–1816), and John-Baptiste Michel (1748–1804), while one was anonymous. All the engravers were skilled artists with their own styles that affected how Hodges’ original drawings were translated into a different medium.
At the time Basire was working on the three engravings that bear his name, one of his apprentices was the famous artist and poet William Blake (1757–1827). It has been suggested that Blake’s particular skills and sympathies can be seen in the portraits entitled ‘Man of the Island of Tanna’ and ‘Woman of the Island of Tanna’.
Provenance
The eighteen plates are part of a complete set that came to the Museum from the collection of Harry Geoffrey Beasley (1882–1939). Beasley was a wealthy businessman who had a particular interest in Pacific art, displaying his collection at his private Cranmore Ethnographic Museum in Chislehurst in Kent. The Cranmore Museum closed following Beasley’s death in 1939 and bomb damage sustained in 1942. In the mid-1940s his widow Irene Marguerite (who died 1974) donated a large collection of books of travel and exploration to the Balfour Library at the Pitt Rivers Museum. The set of plates may have been donated then, or with a later donation of objects in 1955.
It is not known whether Beasley acquired the plates as a set or acquired them piecemeal from different sources at different times. It does appear, however, that all the plates come from one or more bound copies of the Voyage. Many editions of the Voyage were published in London and Dublin in 1777, 1778, and in subsequent years. It is not possible to tell for which edition these plates were printed.",,,"Leverhulme Trust, Sophia Martin-Pavlou, Emma McKinlay and Rosemary Turner",https://prm.web.ox.ac.uk/event/variety-of-portraits-of-persons,visual art,"paper, graphite",communication,offline,TRUE
20,GB,PR,exhibition,17 Dec 2019,3 May 2020,2019,2020,West Africa,Guinea-Bissau,Blow-Up in Bissau,Photography and Museum Revival in West Africa,,"The National Ethnographic Museum of Guinea-Bissau, which opened in 1988, once housed a unique collection of objects from different cultural groups in West Africa, with photographs displayed alongside showing them being used or worn. During the civil war of 1998–9 the Museum was occupied by Senegalese troops who had joined government forces, resulting in damage and loss to the Museum and its collections.
However not everything was destroyed; 450 sheets of contact prints did survive, documenting the collections that the Museum once housed in the country’s capital Bissau, and the ethnographic work its staff undertook during the 1980s in order to found their museum. The contact prints, so called for the way they are developed directly from negatives, have been revisited, digitised, enlarged (‘blown-up’) and reproduced here to tell the story of the Museum and its history. Working with Museum Director Dr Albano Mendes, it was possible to reconstruct the early history of the Museum and create an exhibition in Bissau in 2017.
The contact prints that survived depict the Museum’s various interests and past displays, photographs of its objects, fieldwork photographs showing objects being used, as well as members of local communities. Thematic displays included local architecture, arts and craft, performances, and food production. Developed as quick reference prints, many of the contact print sheets are worn and punched with holes for filing. Connections between the small rows of images can be seen on closer inspection, helping to weave together the Museum’s history.
The National Ethnographic Museum (founded 1988) was relocated in 2010, rehousing the objects and records that had survived the civil war. The Museum’s new building used to house the old Museum of Portuguese Guinea (1946–1974) that had been set up in colonial times. With a new home, new displays could be organized, although this took some time. In September 2017 an exhibition using blown-up images from the contact prints and surviving objects was finally created in the Museum, to tell its past and signal a future.
Working with the Museum team, the curators of this exhibition selected contact print images to be reprinted in graphic displays. Images were organized thematically (weaving, livelihoods, religion, historical places, games, etc.) with texts for each theme, on thirteen roll-up banners, and with objects displayed on plinths nearby. Among the many visitors who came on the day of the opening, 15 September 2017, was the Minister of Culture, who promised financial support for the Museum. 
The exhibition was reviewed by the media as the revival of the Museum, and ever since that day the Museum remains open daily to the public, with schools and universities visiting it regularly. The roll-ups with the reconstructed images played the same role as the images on the walls of the lost Museum, reviving the important work that the Museum once did in documenting and celebrating the remarkable cultures of Guinea-Bissau.",,,"National Ethnographic Museum of Guinea-Bissau, Malcolm McLeod, Roger Canals, National TV of Guinea-Bissau",https://prm.web.ox.ac.uk/event/blow-up-in-bissau,visual art,paper,communication,offline,TRUE
21,GB,MAA,exhibition,3 Dec 2020,Mar 2021,2020,2022,Oceania,Papua New Guinea,"Church and the ancestors: Sacred pir mats from Asmat, Papua, Indonesia","tells the story of how Asmat people of Papua, Indonesia, have transformed Catholicism.",,"Church and the Ancestors tells the story of how Asmat people of Papua, Indonesia, have transformed Catholicism. For generations, Asmat people have negotiated relationships with their ancestors, and with each other, through cycles of ritual. Since the 1970s, they have reshaped Christianity around cycles of ritual feasting, creating innovative forms of material culture that mediate between ancestral spirits and a Catholic God. 
This exhibition looks at how Indigenous feasts have been taken up to celebrate Christmas and other Christian festivals. While Asmat men’s ritual arts, in the form of woodcarving, are widely held in museums, women’s fibre work – the focus of this exhibition – is rarely seen outside the region.
This collection of Asmat church arts was made specially for the Museum by Keenok women of Sawa Erma, commissioned by Cambridge-based student Tom Powell Davies as part of his doctoral field research (2017-18).",,"the Crowther-Beynon Fund, University of Cambridge",Arts council England,https://maa.cam.ac.uk/church-and-ancestors-sacred-pir-mats-asmat-papua-indonesia,national crafts,"wood, fibre, plant","communication, spiritual",offline,TRUE
22,GB,MAA,exhibition,26 Sep 2017,Apr 2018,2017,2018,Oceania,Papua New Guinea,Swish: Carved Belts & Fibre Skirts of Papua New Guinea,This exhibition focuses on the material culture of the southeast coast of Papua New Guinea.,,"This exhibition focuses on the material culture of the southeast coast of Papua New Guinea.
In addition to fibre skirts and carved belts, it features historic photos and a new film of singing, dancing and fibre skirt making.",,University of Cambridge,"Arts council England, UK Research and Innovation",https://maa.cam.ac.uk/swish-carved-belts-fibre-skirts-papua-new-guinea,national crafts,"fibre, leather","clothing, practical, spiritual",offline,TRUE
23,GB,MAA,exhibition,8 Mar 2017,22 Apr 2018,2017,2018,South Asia,India,Another India,unique exhibition exploring the heritage of India’s minority Adivasi (‘original inhabitants’) or Indigenous communities through the collections of the Museum of Archaeology and Anthropology.,,"Another India was a unique exhibition exploring the heritage of India’s minority Adivasi (‘original inhabitants’) or Indigenous communities through the collections of the Museum of Archaeology and Anthropology. Two hundred artefacts and photographs from the Museum’s historic collections were shown alongside 23 new artworks by Indigenous and Adivasi artists from across India, commissioned and purchased with support of a New Collecting Award from Art Fund.
Focusing on communities known variously as Indigenous, ‘Tribal’ or Adivasi (literally ‘original inhabitants’), the exhibition showcases extraordinary and fascinating objects, many of which tell equally intriguing stories. From the Nagas and other peoples in the hills of Northeast India to the Gonds, Todas and Chenchus of the South and the  Santals and Bhils in the East and West of the country, the displays will present strikingly diverse stories of India, collecting, colonialism and British involvement in the subcontinent.
Some of these stories offer different perspectives on histories that are well known. Others deal with less well-known, and sometimes difficult, moments in the shared history of India and the UK. All present versions of India very different from that familiar to most people in Britain – and perhaps in India too.
Another India is the centrepiece of the University’s India Unboxed season. To mark the UK-India Year of Culture 2017, the University of Cambridge Museums and Botanic Garden, are hosting a shared season on the theme of India with a programme of exhibitions, events, digital encounters, discussions, installations and more within the museums and the city of Cambridge. Rooted in the Cambridge collections, the programme will explore themes of identity and connectivity for audiences in both the UK and India.
",,Adivaani/One of Us in India,"University of Cambridge, the Pilgrim Trust and Art Fund",https://maa.cam.ac.uk/another-india,"artefacts, visual art","paper, clay, stone, remains","communication, practical, spiritual",offline,TRUE
24,GB,MAA,exhibition,13 Jun 2017 ,10 Sep 2017,2017,2017,South Africa,South Africa,Kholwa: The Longing of Belonging,"Photographs of Zionist Christians in contemporary South Africa, by Sabelo Mlangeni",,"This exhibition of photographs by the South African photographer, Sabelo Mlangeni, portrays Zionist Christians in contemporary South Africa. Zionism (unrelated to Jewish Zionism) is the country’s largest popular religious movement  – approximately 30% of all South Africans are members of a Zionist church.
While Mlangeni has photographed Zionists since 1997, the idea of an exhibition dedicated to the topic crystallized during the course of his conversations throughout 2016 with Joel Cabrita, an academic at the University of Cambridge Faculty of Divinity who is researching the history of Zionism in South Africa.
Mlangeni is himself a member of a Zionist church and his own trace in these intimate, personal portraits of church members is subtly felt. Boundaries between observer and subject are continually erased and broken down. Mlangeni is portraying his own belief as much as he is exploring the spiritual commitments of his photographic subjects.
Sabelo Mlangeni is a photographer based in Johannesburg, South Africa, where he moved in 2001. Mlangeni joined the Market Photo Workshop in this year, and graduated from it in 2004. His most recent solo exhibition was in Auckland, New Zealand at the Artspace (‘Heartbreaker’). He has also recently had a solo show with the Academy of Fine Arts in Vienna entitled ‘Postapart/heid Communities’ in 2014. Mlangeni’s work has been exhibited in notable group exhibitions, including Public Intimacy: Art and Social Life in South Africa at the Yerba Buena Center for the Arts, San Francisco (2014); Apartheid and After at Huis Marseille, Amsterdam (2014); Rise and Fall of Apartheid: Photography and the Bureaucracy of Everyday Life, Haus der Kunst, Munich (2013); Figures and Fictions: Contemporary South African photography at the V&A Museum, London (2011); and I am not afraid: The Market Photo Workshop, Johannesburg, Johannesburg Art Gallery (2010). Mlangeni has been the recipient of several international prizes, including the Tollman Award for the Visual Arts in 2009 and the POPCAP Piclet Prize for African Photography in 2016.
Working mainly in a black and white format, Mlangeni’s photographs have focused on capturing the intimate, everyday moments of communities in contemporary South Africa. His work includes ‘Big City’ (2002 to 2015) which focuses on Johannesburg’s history, and ‘Country Girls’ (shot between 2003 and 2009), which focuses on gay communities in rural South Africa, especially in the area of Driefontein, his own village in the province of Mpumalanga. Personally knowing many of his photographic subjects as childhood friends means that Mlangeni has been able to create photographs from a perspective of unique understanding and membership of the community he is portraying. Throughout his work, Mlangeni avoids ‘othering’ or ‘exoticizing’ his subjects, and instead attempts to show the multi-faceted, intimate reality of daily life of these individuals. While many of them face discrimination due to their sexual identities, Mlangeni’s work does not cast them as ‘victims’ but rather portrays their resilience, joyfulness and dignity as ordinary people.

",,University of Cambridge,"Arts council England, UK Research and Innovation",https://maa.cam.ac.uk/kholwa-longing-belonging,visual art,paper,communication,offline,TRUE
25,GB,MAA,exhibition,4 Apr 2017,25 Sep 2017,2017,2017,Pacific/Oceania,Kiribati,The Island Warrior: Coconut Fibre Armour from Kiribati,"This exhibition focused on the extraordinary suits of armour made in the small islands of Kiribati, in the Pacific Ocean, throughout the 19th century.",,"This exhibition focused on the extraordinary suits of armour made in the small islands of Kiribati, in the Pacific Ocean, throughout the 19th century.
By looking closely at the armour, we were able to discover how these complex objects were made, worn and used. Other objects on display explored the contemporary relevance of this armour to I-Kiribati people today. The display also included a new suit of armour made especially for the Museum by artists Kaetaeta Watson, Lizzy Leckie and Chris Charteris. This new suit of armour is the first Kiribati armour to be made in 45 years.
The research leading to this exhibition has received funding from the European Research Council project Pacific Presences [http://pacificpresences.maa.cam.ac.uk] under the European Union’s Seventh Framework Programme, grant agreement no.324146]11.",,European Research Council project Pacific Presences,"European Union’s Seventh Framework Programme, grant agreement no.324146]11",https://maa.cam.ac.uk/island-warrior-coconut-fibre-armour-kiribati,armour,"metal, wood, stone",armour,offline,TRUE
26,GB,MAA,exhibition,00 Oct 2016,00 Mar 2017,2016,2017,Central Africa,Congo,"Carriers of Culture: Women, Food and Power from the Congo Basin",Exploring the role of women and food from the Congo basin in the past and today,,"Exploring the role of women and food from the Congo basin in the past and today, MAA’s first exhibition in our rebranded spotlight gallery is co-curated with the Congo Great Lakes Initiative.",,Congo Great Lakes Initiative,"Arts council England, UK Research and Innovation",https://maa.cam.ac.uk/carriers-culture-women-food-and-power-congo-basin,visual art,paper,communication,offline,TRUE
27,GB,MAA,exhibition,22 Jun 2016,26 Sep 2016,2016,2016,Australia/Oceania,Australia,Antipodes,"brings together three of Australia's most represented contemporary artists Brook Andrew, Tom Nicholson and Caroline Rothwell.",,"The Museum of Archaeology and Anthropology is proud to present the results of an extraordinary cross-continental collaboration.
This new collaboration between the University of Cambridge Museums and the Australian Print Workshop brings together three of Australia's most represented contemporary artists Brook Andrew, Tom Nicholson and Caroline Rothwell.
Hosted by the Museum of Archaeology and Anthropology, the artists travelled to the United Kingdom to study rarely seen and highly significant collections relating to Australia and the Pacific. Exploring the interplay of natural history, empire, art and anthropology each of the artists spent time in the print studio at APW, working in collaboration with APW Printers to produce reflective bodies of work in the print medium.",,Australian Print Workshop,"UCM, and APW's long-standing philanthropic partner The Collie Print Trust, Arts council England, UK Research and Innovation",https://maa.cam.ac.uk/antipodes,visual art,"paper, paints, graphite",artistic expression,offline,TRUE
28,ESP,MDA,exhibition,8 Oct 2021,5 Feb 2022,2021,2022,Central America,España,La esclavitud y el legado cultural de África en el Caribe,"The project aims to establish an academic dialogue between Europe and the Caribbean through publications, seminars and various activities aimed at a wide audience.","A través del proyecto se pretende establecer un diálogo académico entre Europa y el Caribe mediante publicaciones, seminarios y distintas actividades destinadas a un público amplio.","The Museum of America presents an exhibition that is part of the European project “Connected Worlds: The Caribbean, Origin of Modern World”, directed by Consuelo Naranjo Orovio from the CSIC Institute of History. The project aims to establish an academic dialogue between Europe and the Caribbean through publications, seminars and various activities aimed at a wide audience.

One of these activities is a documentary exhibition curated by Miguel Ángel Puig-Samper (Instituto de Historia-CSIC), whose central axis is the human and cultural presence of Africa in the Caribbean from the sixteenth century to the present.

The exhibition offers, through 30 panels of photographs and text, a journey through the history of transatlantic slavery and the trail of Africa in America. The images and texts will bring the public closer to the slave trade by which twelve and a half million African slaves were transferred to America from the early sixteenth century to 1866, and will reveal the diverse origins of the slaves, their different ethnicities and cultures, as well as the legacy of African slaves in America, showing the African cultural influence on food, music, dance, popular religiosity, folklore, literature or plastic arts in the Caribbean.","El Museo de América presenta una exposición que se enmarca en el proyecto europeo “Connected Worlds: The Caribbean, Origin of Modern World”, dirigido por Consuelo Naranjo Orovio desde el Instituto de Historia del CSIC. A través del proyecto se pretende establecer un diálogo académico entre Europa y el Caribe mediante publicaciones, seminarios y distintas actividades destinadas a un público amplio.

Una de estas actividades es una exposición de carácter documental comisariada por Miguel Ángel Puig-Samper (Instituto de Historia-CSIC), que tiene como eje central la presencia humana y cultural de África en el Caribe desde el siglo XVI a la actualidad.

La exposición ofrece, a través de 30 paneles de fotografías y texto, un recorrido por la historia de la esclavitud transatlántica y el rastro de África en América. Las imágenes y textos aproximarán al público al comercio esclavista por el que fueron trasladados a América doce millones y medio de esclavos africanos desde los primeros años del siglo XVI hasta 1866, y revelarán los orígenes diversos de los esclavos, sus etnias y culturas distintas, así como el legado de los esclavos africanos en América, mostrando la influencia cultural africana en la comida, la música, la danza, la religiosidad popular, el folklore, la literatura o las artes plásticas en el Caribe.",Instituto de Historia del CSIC,,https://www.culturaydeporte.gob.es/museodeamerica/exposiciones/exp-temp-historico/2021-esclavitud.html,"visual arts, texts","paper, graphite",communication,offline,ЛОЖЬ
